distance_km,elevation_m
15.745229,5.00
15.757608,4.37
15.769986,4.00
15.782364,4.00
15.794743,4.00
15.807121,4.00
15.819499,3.00
15.831878,3.00
15.844256,3.00
15.856634,3.00
15.869013,4.00
15.881391,3.00
15.893769,3.00
15.906148,3.00
15.918526,3.00
15.930904,3.00
15.943283,3.00
15.955661,3.00
15.968039,3.00
15.980418,3.00
15.992796,3.00
16.005174,3.00
16.017553,2.45
16.029931,2.00
16.042309,2.00
16.054688,2.00
16.067066,2.00
16.079444,3.00
16.091823,2.00
16.104201,2.16
16.116579,3.00
16.128958,3.00
16.141336,3.96
16.153714,4.00
16.166093,4.00
16.178471,4.00
16.190849,3.00
16.203227,3.00
16.215606,3.00
16.227984,3.00
16.240362,4.00
16.252741,4.03
16.265119,5.00
16.277497,5.00
16.289876,5.00
16.302254,4.00
16.314632,4.00
16.327011,4.00
16.339389,5.00
16.351767,4.00
16.364146,3.21
16.376524,3.00
16.388902,3.20
16.401281,4.00
16.413659,4.00
16.426037,3.00
16.438416,4.00
16.450794,3.00
16.463172,3.00
16.475551,3.00
16.487929,3.00
16.500307,3.00
16.512686,3.00
16.525064,3.02
16.537442,5.00
16.549821,8.66
16.562199,9.21
16.574577,12.00
16.586956,14.00
16.599334,16.08
16.611712,17.00
16.624091,17.00
16.636469,18.00
16.648847,18.00
16.661226,19.66
16.673604,21.00
16.685982,22.00
16.698360,23.00
16.710739,24.00
16.723117,26.00
16.735495,26.00
16.747874,26.00
16.760252,26.91
16.772630,28.00
16.785009,28.31
16.797387,30.00
16.809765,31.00
16.822144,32.63
16.834522,34.47
16.846900,36.00
16.859279,38.00
16.871657,39.00
16.884035,41.00
16.896414,43.00
16.908792,45.00
16.921170,46.72
16.933549,48.00
16.945927,49.00
16.958305,51.00
16.970684,53.00
16.983062,53.76
16.995440,54.00
17.007819,55.00
17.020197,55.70
17.032575,56.15
17.044954,57.44
17.057332,58.00
17.069710,60.38
17.082089,62.00
17.094467,62.74
17.106845,64.00
17.119224,65.00
17.131602,66.07
17.143980,67.15
17.156359,68.90
17.168737,71.00
17.181115,73.00
17.193493,75.00
17.205872,76.00
17.218250,78.00
17.230628,79.87
17.243007,81.00
17.255385,83.78
17.267763,85.00
17.280142,86.00
17.292520,87.97
17.304898,89.00
17.317277,90.00
17.329655,90.00
17.342033,91.00
17.354412,93.00
17.366790,94.00
17.379168,95.55
17.391547,97.00
17.403925,97.04
17.416303,99.00
17.428682,100.00
17.441060,101.00
17.453438,102.00
17.465817,102.33
17.478195,104.00
17.490573,104.00
17.502952,105.00
17.515330,106.00
17.527708,107.00
17.540087,107.00
17.552465,108.00
17.564843,109.00
17.577222,109.00
17.589600,110.00
17.601978,110.00
17.614357,111.00
17.626735,110.00
17.639113,110.08
17.651492,111.41
17.663870,111.00
17.676248,109.13
17.688626,109.00
17.701005,109.00
17.713383,110.24
17.725761,111.00
17.738140,112.00
17.750518,114.00
17.762896,115.48
17.775275,117.00
17.787653,119.00
17.800031,120.00
17.812410,121.00
17.824788,122.12
17.837166,124.00
17.849545,125.00
17.861923,126.00
17.874301,126.00
17.886680,127.00
17.899058,128.00
17.911436,128.00
17.923815,129.00
17.936193,128.00
17.948571,127.72
17.960950,126.44
17.973328,125.00
17.985706,124.00
17.998085,123.00
18.010463,123.00
18.022841,122.00
18.035220,122.00
18.047598,122.00
18.059976,121.50
18.072355,120.00
18.084733,121.00
18.097111,120.00
18.109490,120.00
18.121868,120.00
18.134246,120.00
18.146625,120.00
18.159003,120.00
18.171381,119.00
18.183759,119.00
18.196138,120.00
18.208516,121.41
18.220894,123.00
18.233273,123.00
18.245651,124.00
18.258029,124.44
18.270408,125.00
18.282786,126.00
18.295164,127.00
18.307543,127.20
18.319921,129.00
18.332299,129.00
18.344678,130.00
18.357056,131.00
18.369434,132.00
18.381813,132.00
18.394191,132.00
18.406569,134.00
18.418948,135.00
18.431326,135.00
18.443704,135.00
18.456083,136.00
18.468461,136.00
18.480839,137.00
18.493218,137.00
18.505596,138.50
18.517974,139.00
18.530353,139.00
18.542731,140.00
18.555109,141.00
